,0
266,"0.50 1/6/2020 4/17/2020ED 100 01 Foundations of American Education Rod Szabo, Maryam 13/30 Open"
267,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Vogel Library, CURRICULM LAB"
268,"1.00 1/6/2020 4/17/2020ED 100 02 Foundations of American Education Rod Szabo, Maryam 7/30 Open"
269,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Vogel Library, CURRICULM LAB"
270,"1.00 1/6/2020 4/17/2020ED 173 20 Field Experience in ESL Rod Szabo, Maryam 10/15 Open"
271,"0.00 2/19/2020 4/17/2020ED 181 01 Field Experience in Education Rod Szabo, Maryam 18/60 Open"
272,"0.00 1/6/2020 4/17/2020ED 212 01 Human Relations Faga, Kelly J. 4/30 Open"
273,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
274,"1.00 1/6/2020 4/17/2020ED 215 01 Psychology of the Exceptional Child Faga, Kelly J. 4/25 Open"
275,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Old Main, CLASSROOM"
276,"1.00 1/6/2020 4/17/2020ED 215 02 Psychology of the Exceptional Child Faga, Kelly J. 1/25 Open"
277,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Old Main, CLASSROOM"
278,"1.00 1/6/2020 4/17/2020ED 221 01 Teaching Elementary Social Studies Snyder, Richard R. 1/25 Open"
279,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Old Main, Classroom"
280,"1.00 1/6/2020 4/17/2020ED 224 20 Teaching PE/Health in Elem School TBA, TBA TBA 4/25 Open"
281,"W 6:30 PM-9:30 PM; Wartburg College Campus, Old Main, Classroom"
282,"0.50 2/19/2020 4/17/2020ED 315 01 Educational Psychology Snyder, Richard R. 1/25 Open"
283,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Old Main, Classroom"
284,"1.00 1/6/2020 4/17/2020ED 315 02 Educational Psychology Snyder, Richard R. 14/25 Open"
285,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Old Main, Classroom"
286,"1.00 1/6/2020 4/17/2020ED 320 01 Teaching Language Arts TeKippe, Stephanie S. 2/25 Open"
287,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
288,"1.00 1/6/2020 4/17/2020ED 326 01 Diagnostic and Remedial Reading Jensen, Rita A. 11/25 Open"
289,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Vogel Library, CURRICULM LAB"
290,"1.00 1/6/2020 4/17/2020ED 334 01 Managing Behav & Skills in Spec Ed Hirst, Theresa N. 17/25 Open"
291,"T 6:30 PM-9:30 PM; Wartburg College Campus, Old Main, CLASSROOM"
292,"1.00 1/6/2020 4/17/2020ED 344 01 R Assessment Practices in Special Ed Hirst, Theresa N. 0/1 Full"
293,"0.50 1/6/2020 4/17/2020ED 350 01 Content Area Reading Strategies Jensen, Rita A. 1/25 Open"
294,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Vogel Library, CURRICULM LAB"
295,"1.00 1/6/2020 4/17/2020ED 382 01 Field Experience: Remedial Reading Jensen, Rita A. 11/25 Open"
296,"0.00 1/6/2020 4/17/2020ED 383 01 Field Experience:Educational Psych Snyder, Richard R. 14/50 Open"
297,"0.00 1/6/2020 4/17/2020ED 473 20 Methods and Pedagogy in PreK-12 ESL Rod Szabo, Maryam TeKippe, Stephanie S. 10/15 Open"
298,Online;
299,"1.00 2/19/2020 4/17/2020ED 480 01 Student Teaching: Special Education Faga, Kelly J. 4/8 Open"
300,"2.00 1/6/2020 4/17/2020ED 480 02 Student Teaching: Special Education Hirst, Theresa N. 3/6 Open"
301,"2.00 1/6/2020 4/17/2020ED 482 01 Elem Student Teaching & Capstone Faga, Kelly J. 15/18 Open"
302,"4.00 1/6/2020 4/17/2020ED 482 02 Elem Student Teaching & Capstone Rod Szabo, Maryam 18/20 Open"
303,"2.00 1/6/2020 4/17/2020ED 482 03 Elem Student Teaching & Capstone Rod Szabo, Maryam 4/6 Open"
304,"4.00 1/6/2020 4/17/2020ED 482 04 Elem Student Teaching & Capstone TeKippe, Stephanie S. 5/6 Open"
305,"4.00 1/6/2020 4/17/2020ED 482 05 Elem Student Teaching & Capstone Faga, Kelly J. 3/6 Open"
306,"2.00 1/6/2020 4/17/2020ED 482 06 Elem Student Teaching & Capstone Jensen, Rita A. 4/6 Open"
307,"2.00 1/6/2020 4/17/2020ED 482 07 Elem Student Teaching & Capstone TeKippe, Stephanie S. 4/6 Open"
308,"2.00 1/6/2020 4/17/2020ED 483 01 Sec Student Teaching Capstone & Sem Snyder, Richard R. 21/25 Open"
309,"4.00 1/6/2020 4/17/2020ED 483 02 Sec Student Teaching Capstone & Sem TBA, TBA TBA 10/10 Open"
310,"2.00 1/6/2020 4/17/2020ED 483 03 Sec Student Teaching Capstone & Sem Thompson, Christine L. Snyder, Richard R. 2/6 Open"
311,"4.00 1/6/2020 4/17/2020ED 483 04 Sec Student Teaching Capstone & Sem Bechtel, Michael D. 4/5 Open"
312,"4.00 1/6/2020 4/17/2020ED 484 01 PreK/K Student Teaching & Capstone Faga, Kelly J. 9/10 Open"
313,"2.00 1/6/2020 4/17/2020ED 484 02 PreK/K Student Teaching & Capstone Jensen, Rita A. 9/10 Open"
314,"2.00 1/6/2020 4/17/2020ED 485 01 Music Student Teaching & Capstone Muntefering, Scott 10/12 Open"
315,Wartburg College Campus
316,"3.50 1/6/2020 4/17/2020ED 486 01 PE Student Teaching :K-12 &Capstone Winter, Kenneth H. Snyder, Richard R. 24/25 Open"
317,"4.00 1/6/2020 4/17/2020ED 488 01 Middle School Student Teaching TBA, TBA TBA 6/6 Open"
318,"2.00 1/6/2020 4/17/2020ED 489 01 5-12 Health Student Teaching TBA, TBA TBA Miller, James M. 25/25 Open"
319,"1.00 1/6/2020 4/17/2020EN 112 01 Intermediate Composition Bingham, Linda L. 0/22 Full"
320,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
321,"1.00 1/6/2020 4/17/2020EN 112 02 Intermediate Composition Bingham, Linda L. 2/22 Open"
322,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
323,"1.00 1/6/2020 4/17/2020EN 112 03 Intermediate Composition Nolan, Amy L. 0/22 Full"
324,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
325,"1.00 1/6/2020 4/17/2020EN 112 04 Intermediate Composition Gruenwald, Jacqueline C. 9/22 Open"
326,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
327,"1.00 1/6/2020 4/17/2020EN 112 05 Intermediate Composition Platte, Karen S. 0/22 Full"
328,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
329,"1.00 1/6/2020 4/17/2020EN 112 06 Intermediate Composition Platte, Karen S. 2/22 Open"
330,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
331,"1.00 1/6/2020 4/17/2020EN 112 08 Intermediate Composition Lynch, Sonja C. 15/22 Open"
332,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
333,"1.00 1/6/2020 4/17/2020EN 112 09 Intermediate Composition Chapman, Ryan D. 7/22 Open"
334,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
335,"1.00 1/6/2020 4/17/2020EN 112 30 Intermediate Composition Lynch, Sonja C. 0/22 Full"
336,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Classroom Technology Center, Computer Lab"
337,"1.00 1/6/2020 4/17/2020EN 155 01 Introduction to Film Johnson, Ronald A. 0/30 Full"
338,"W 6:30 PM-9:30 PM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
339,"1.00 1/6/2020 4/17/2020EN 202 01 Survey of British Literature II Clark, Rachel E. 16/25 Open"
340,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
341,"1.00 1/6/2020 4/17/2020EN 219 01 Screenwriting Nolan, Amy L. 5/22 Open"
342,"TH 1:00 PM-2:40 PM; Wartburg College Campus, McElroy Center, Classroom"
343,"1.00 1/6/2020 4/17/2020EN 221 01 Fiction Writing Nolan, Amy L. 0/15 Full"
344,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
345,"1.00 1/6/2020 4/17/2020EN 244 01 Young Adult Literature Lynch, Sonja C. 2/25 Open"
346,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Fine Arts Center, CLASSROOM"
347,"1.00 1/6/2020 4/17/2020EN 371 01 N Intern: Denver Ctr Performing Arts Lorenz, Gregory F. 0/1 Full"
348,"2.00 1/6/2020 4/17/2020EN 450 01 I Indep Study Lit of Rachel Carson Chapman, Ryan D. 1/2 Open"
349,"0.50 1/6/2020 4/17/2020EN 470 01 R Sec Content Methods: English/Journ Jensen, Rita A. 0/1 Full"
350,"1.00 1/6/2020 4/17/2020ENV 100 01 Explorations Environmental Science McCullough, David A. 9/25 Open"
351,"W 6:30 PM-8:15 PM; Wartburg College Campus, Science Center, Field Ecology Room"
352,"0.50 1/6/2020 4/17/2020ENV 371 01 N Internship Butler Cty Environ Healt McCullough, David A. 0/1 Full"
353,"0.50 1/6/2020 4/17/2020ES 152 01 Modern Engineering Analysis II Faidley, LeAnn E. 0/24 Full"
354,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Classroom"
355,"0.50 1/6/2020 4/17/2020ES 205 01 Statics Faidley, LeAnn E. 22/50 Open"
356,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
357,"1.00 1/6/2020 4/17/2020ES 230 01 Engineering Economic Analysis Mahmoud, Murad M. 11/30 Open"
358,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, Classroom"
359,"1.00 1/6/2020 4/17/2020ES 251 01 Machinery and Manufacturing Black, Daniel W. 2/16 Open"
360,"T 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Classroom"
361,"0.50 1/6/2020 4/17/2020ES 303 01 Mechanics of Materials Faidley, LeAnn E. 26/40 Open"
362,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Classroom"
363,"1.00 1/6/2020 4/17/2020ES 304 01 Fluid Mechanics Mahmoud, Murad M. 3/18 Open"
364,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, Classroom"
365,"1.00 1/6/2020 4/17/2020ES 304 01 L Fluid Mechanics Lab Black, Daniel W. 3/18 Open"
366,"H 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Physics Room"
367,"0.00 1/6/2020 4/17/2020ES 305 01 Electronics Black, Daniel W. 22/36 Open"
368,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Classroom"
369,"1.00 1/6/2020 4/17/2020ES 350 01 Engineering Design Methods Faidley, LeAnn E. 9/24 Open"
370,"H 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Classroom"
371,"1.00 1/6/2020 4/17/2020ES 371 01 N Intern John Deere Parts Engineering Faidley, LeAnn E. 0/1 Full"
372,"0.25 1/6/2020 4/17/2020ES 460 01 Senior Design Project Faidley, LeAnn E. 4/12 Open"
373,Wartburg College Campus
374,"0.50 1/6/2020 4/17/2020EXS 218 01 Human Anatomy and Physiology II Westen, Edward A. 16/48 Open"
375,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, CLASSROOM"
376,"1.00 1/6/2020 4/17/2020EXS 218 01 L Human Anatomy & Physiology II Lab 1 Westen, Edward A. 6/24 Open"
377,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, CLASSROOM"
378,"0.00 1/6/2020 4/17/2020EXS 218 02 L Human Anatomy & Physiology II Lab 2 Westen, Edward A. 10/24 Open"
379,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, CLASSROOM"
380,"0.00 1/6/2020 4/17/2020EXS 325 01 Advanced Exercise Physiology Dietz Parsons, Patricia R. 43/48 Open"
381,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, DIVIDABLE CLASSROOM"
382,"1.00 1/6/2020 4/17/2020EXS 325 02 L Advanced Exercise Physiology Lab 2 Dietz Parsons, Patricia R. 19/24 Open"
383,"H 7:45 AM-11:00 AM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, DIVIDABLE CLASSROOM"
384,"0.00 1/6/2020 4/17/2020EXS 349 01 Current Topics: The Science of Obesity Westen, Edward A. 17/30 Open"
385,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, DIVIDABLE CLASSROOM"
386,"1.00 1/6/2020 4/17/2020FR 106 01 Elementary French II Conrad, Dennis G. 20/25 Open"
387,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Old Main, CLASSROOM"
388,"1.00 1/6/2020 4/17/2020GER 104 01 Elementary German I Losch, Yvonne E. 0/25 Full"
389,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
390,"1.00 1/6/2020 4/17/2020GER 106 01 Elementary German II Losch, Yvonne E. 19/25 Open"
391,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
392,"1.00 1/6/2020 4/17/2020GER 349 01 Studies in German Lit and Culture: The German Legend and Fairy Tale Losch, Yvonne E. 16/20 Open"
393,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
394,"1.00 1/6/2020 4/17/2020GM 261 01 Lit & Culture of British Isles Clark, Rachel E. 6/20 Open"
395,"T 6:30 PM-8:10 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
396,"0.50 1/6/2020 4/17/2020GM 301 01 Return Adjustment Boss, Joyce E. 7/12 Open"
397,Wartburg College Campus
398,"0.50 1/6/2020 4/17/2020GM 307 01 Readings in Middle East Life & Cult Schedtler, Justin P. 5/20 Open"
399,"H 6:30 PM-8:10 PM; Wartburg College Campus, Grossmann Hall, CLASSROOM"
400,"0.50 1/6/2020 4/17/2020GR 301 01 Greek Readings Schedtler, Justin P. 5/10 Open"
401,"H 9:35 AM-11:15 AM; Wartburg College Campus, Grossmann Hall, CLASSROOM"
402,"0.50 1/6/2020 4/17/2020HB 202 01 Biblical Hebrew II Wendland, Kristin J. 15/25 Open"
403,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Grossmann Hall, CLASSROOM"
404,"0.50 1/6/2020 4/17/2020HE 241 01 R Sports Nutrition Callahan, Ryan 0/1 Full"
405,"0.50 1/6/2020 4/17/2020HE 243 10 Sport Psychology Pins, Tiffany A. 0/30 Full"
406,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, DIVIDABLE CLASSROOM"
407,"0.50 1/6/2020 2/18/2020HE 244 20 Coaching Authorization Foster, Dana A. 4/30 Open"
408,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Old Main, Classroom"
409,"0.50 2/19/2020 4/17/2020HE 246 01 Coaching Theory Holst, Joel R. 7/30 Open"
410,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Old Main, CLASSROOM"
411,"1.00 1/6/2020 4/17/2020HE 246 02 R Coaching Theory Holst, Joel R. 0/1 Full"
412,"1.00 1/6/2020 4/17/2020HE 359 01 Group Fitness Instruction Foster, Dana A. 22/30 Open"
413,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, DIVIDABLE CLASSROOM"
414,"1.00 1/6/2020 4/17/2020HE 440 01 Community and Public Health Walker, Jennifer L. 11/25 Open"
415,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Classroom"
416,"1.00 1/6/2020 4/17/2020HI 110 01 American History Since 1877 Rumsey, Brian E. 0/40 Full"
417,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Classroom Technology Center, Classroom"
418,"1.00 1/6/2020 4/17/2020HI 122 01 World Civilizations II Walther, Daniel J. 16/35 Open"
419,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
420,"1.00 1/6/2020 4/17/2020HI 270 01 The Greeks and Romans Barnhouse, Lucy C. 16/35 Open"
421,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
422,"1.00 1/6/2020 4/17/2020HI 282 01 Women in Early World History Barnhouse, Lucy C. 15/25 Open"
423,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
424,"1.00 1/6/2020 4/17/2020HI 290 01 Twentieth Century Europe Walther, Daniel J. 9/40 Open"
425,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
426,"1.00 1/6/2020 4/17/2020HI 302 01 The American Civil War Smith, Corey W. 17/25 Open"
427,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Classroom Technology Center, Classroom"
428,"1.00 1/6/2020 4/17/2020HI 302 01 R The American Civil War Lindell, Terrence J. 0/1 Full"
429,"1.00 1/6/2020 4/17/2020HI 402B 01 R The American Civil War Lindell, Terrence J. 0/1 Full"
430,"1.00 1/6/2020 4/17/2020HI 461 01 Historiography Walther, Daniel J. Barnhouse, Lucy C. 8/15 Open"
431,"T 9:35 AM-11:15 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
432,"0.50 1/6/2020 4/17/2020ID 315 01 Leadership Theories and Practices Gleason, Michael C. Lang, Ashley R. 0/25 Full"
433,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Lecture Room"
434,"1.00 1/6/2020 4/17/2020ID 315 02 Leadership Theories and Practices Waldstein, Fredric A. Gleason, Michael C. 0/25 Full"
435,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Classroom"
436,"1.00 1/6/2020 4/17/2020ID 340 01 History of Western Medicine Barnhouse, Lucy C. 4/25 Open"
437,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
438,"1.00 1/6/2020 4/17/2020ID 360 01 W The Metropolis:Place of Convergence Lorenz, Gregory F. 13/15 Open"
439,"1.00 1/6/2020 4/17/2020ID 373 01 V Contemporary Japanese Culture Boss, Joyce E. 0/1 Full No schedule is currently available 1.00 1/6/2020 4/17/2020ID 375 01 Private Lives in Public Forms Lynch, Sonja C. 1/25 Open"
440,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, McElroy Center, Classroom"
441,"1.00 1/6/2020 4/17/2020IS 101 01 Asking Questions, Making Choices: Surviving to Thriving in College Leonard, Lindsey N. 18/25 Open"
442,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Whitehouse Business Center, Classroom"
443,"1.00 1/6/2020 4/17/2020IS 101 02 Asking Questions, Making Choices: Surviving to Thriving in College Hales, Cassandra 13/25 Open"
444,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Old Main, Classroom"
445,"1.00 1/6/2020 4/17/2020IS 201 02 Living in a Div World: Pop Culture Mahmoud, Murad M. 0/25 Full"
446,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
447,"1.00 1/6/2020 4/17/2020IS 201 03 Living in a Div World: Pop Culture Mahmoud, Murad M. 1/25 Open"
448,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Classroom"
449,"1.00 1/6/2020 4/17/2020IS 201 04 Living in a Div World: Sport Sociology Pins, Tiffany A. 0/25 Full"
450,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Classroom Technology Center, Classroom"
451,"1.00 1/6/2020 4/17/2020IS 201 06 Living in a Div World: Religion, Race, Gender & Identity Rod Szabo, Maryam 0/25 Waitlisted"
452,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Vogel Library, CURRICULM LAB"
453,"1.00 1/6/2020 4/17/2020IS 201 07 Living in a Div World: Faith and Fiction Riswold, Caryn D. 12/25 Open"
454,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Grossmann Hall, Grossmann Hall Lower Level - No windows"
455,"1.00 1/6/2020 4/17/2020IS 201 08 Living in a Div World: Political Terrorism Billet, Bret L. 12/25 Open"
456,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Classroom Technology Center, Classroom"
457,"1.00 1/6/2020 4/17/2020IS 201 09 Living in a Div World: World Cinema Boss, Joyce E. 0/25 Full"
458,"M 6:30 PM-9:30 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
459,"1.00 1/6/2020 4/17/2020LS 111 10 Professional Business Career Prep Gonnerman, Melvin E. Jr 0/22 Full"
460,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
461,"0.50 1/6/2020 2/18/2020LS 111 20 Professional Business Career Prep Gonnerman, Melvin E. Jr 0/22 Full"
462,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
463,"0.50 2/19/2020 4/17/2020LS 115 01 Exploring Elements of Leadership Gleason, Michael C. 0/30 Full"
464,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
465,"1.00 1/6/2020 4/17/2020LS 115 02 Exploring Elements of Leadership Teig Torres, Kristin L. 0/30 Full"
466,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
467,"1.00 1/6/2020 4/17/2020LS 260 01 W Urban Lifestyles Lorenz, Gregory F. 8/15 Open"
468,"0.50 1/6/2020 4/17/2020LS 371 01 N Internship Touching Hearts @ Home Faux, Tamara L. 0/1 Full"
469,"0.25 1/6/2020 4/17/2020LS 371 02 N Internship special needs client Faux, Tamara L. 0/1 Full"
470,"0.25 1/6/2020 4/17/2020LS 405 01 Leadership Portfolio Seminar Waldstein, Fredric A. 10/25 Open"
471,"MW 12:00 PM-12:50 PM; Wartburg College Campus, Science Center, Classroom"
472,"0.50 1/6/2020 4/17/2020LS 405 02 Leadership Portfolio Seminar Gleason, Michael C. 7/25 Open"
473,"TH 2:50 PM-3:40 PM; Wartburg College Campus, Science Center, Classroom"
474,"0.50 1/6/2020 4/17/2020MA 090 01 Intermediate Math (Self-Paced) Birgen, Brian J. 27/34 Open"
475,"T 7:00 PM-8:00 PM; Wartburg College Campus, Science Center, Classroom"
476,"1.00 1/6/2020 4/17/2020MA 106 01 Mathematics in Modern Society Wright, Janell C. 10/34 Open"
477,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Biology Room"
478,"1.00 1/6/2020 4/17/2020MA 107 01 Finite Mathematics Roose, Mitchell J. 7/34 Open"
479,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Biology Room"
480,"1.00 1/6/2020 4/17/2020MA 107 02 Finite Mathematics Letsche, Terry L. 4/34 Open"
481,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, Classroom"
482,"1.00 1/6/2020 4/17/2020MA 111 01 Structures of Mathematics II Becker, Joy L. 7/34 Open"
483,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Biology Room"
484,"1.00 1/6/2020 4/17/2020MA 214 01 Statistical Methods Birgen, Brian J. 0/34 Full"
485,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
486,"1.00 1/6/2020 4/17/2020MA 214 02 Statistical Methods Allen, Cristian G. 0/34 Full"
487,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, Classroom"
488,"1.00 1/6/2020 4/17/2020MA 250 01 Applied Calculus Birgen, Brian J. 19/34 Open"
489,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, Classroom"
490,"1.00 1/6/2020 4/17/2020MA 251 10 Foundational Differential Calculus Becker, Joy L. 0/34 Full"
491,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, Classroom"
492,"0.50 1/6/2020 2/18/2020MA 251 11 Foundational Differential Calculus Allen, Cristian G. 7/34 Open"
493,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
494,"0.50 1/6/2020 2/18/2020MA 252 20 Foundational Integral Calculus Becker, Joy L. 0/34 Full"
495,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, Classroom"
496,"0.50 2/19/2020 4/17/2020MA 252 21 Foundational Integral Calculus Allen, Cristian G. 6/34 Open"
497,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
498,"0.50 2/19/2020 4/17/2020MA 301 01 Linear Algebra Becker, Joy L. 6/34 Open"
499,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, Classroom"
500,"1.00 1/6/2020 4/17/2020MA 305 01 Advanced Calculus Birgen, Brian J. 24/34 Open"
501,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Classroom"
502,"1.00 1/6/2020 4/17/2020MA 312 01 Teaching Elementary School Math TeKippe, Stephanie S. 9/25 Open"
503,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Cliinton Hall Addition, Soenke Classroom"
504,"1.00 1/6/2020 4/17/2020MA 401 01 Differential Equations Allen, Cristian G. 22/34 Open"
505,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, CLASSROOM"
506,"1.00 1/6/2020 4/17/2020MU 106 01 Music Theory II Wachmann, Eric J. 6/22 Open"
507,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Fine Arts Center, Classroom"
508,"1.00 1/6/2020 4/17/2020MU 106 02 Music Theory II Stapleton, Samuel J. 5/22 Open"
509,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Fine Arts Center, Classroom"
510,"1.00 1/6/2020 4/17/2020MU 106 03 Music Theory II Stapleton, Samuel J. 12/22 Open"
511,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Fine Arts Center, Classroom"
512,"1.00 1/6/2020 4/17/2020MU 107 01 Aural Skills I Reuter, Ted A. 4/19 Open"
513,"TH 8:35 AM-9:25 AM; Wartburg College Campus, Fine Arts Center, Classroom"
514,"0.50 1/6/2020 4/17/2020MU 107 02 Aural Skills I Reuter, Ted A. 5/19 Open"
515,"TH 9:35 AM-10:25 AM; Wartburg College Campus, Fine Arts Center, Classroom"
516,"0.50 1/6/2020 4/17/2020MU 107 03 Aural Skills I Reuter, Ted A. 4/19 Open"
517,"TH 10:25 AM-11:15 AM; Wartburg College Campus, Fine Arts Center, Classroom"
518,"0.50 1/6/2020 4/17/2020MU 110 01 Choir Nelson, Lee D. 8/90 Open"
519,"MTWH 4:50 PM-6:15 PM; Wartburg College Campus, Fine Arts Center, Choral Room"
520,"0.25 1/6/2020 4/17/2020MU 111 01 Castle Singers Toliver, Nicki L. 19/40 Open"
521,"MTWHF 3:50 PM-4:40 PM; Wartburg College Campus, Fine Arts Center, Choral Room"
522,"0.25 1/6/2020 4/17/2020MU 112 01 St. Elizabeth Chorale Toliver, Nicki L. 27/105 Open"
523,"MTH 4:50 PM-6:00 PM; Wartburg College Campus, Fine Arts Center, ORCHESTRA HALL"
524,"0.00 1/6/2020 4/17/2020MU 113 01 Kantorei Black, Karen E. 7/50 Open"
525,"WF 3:45 PM-4:45 PM; Wartburg College Campus, Wartburg Chapel, CHAPEL"
526,"0.00 1/6/2020 4/17/2020MU 114 01 Ritterchor Nelson, Lee D. 8/75 Open"
527,"MTH 3:50 PM-4:45 PM; Wartburg College Campus, Wartburg Chapel, BASEMENT COMMONS STAIR/DOOR"
528,"0.00 1/6/2020 4/17/2020MU 119 01 Handbell Choir Black, Karen E. 12/20 Open"
